Once/CCC/Machine/IR/RecTrace.agda:386.3-21	  alg-tree alg-trace = flat alg-trace	when checking the definition of alg-tree
Once/CCC/Machine/SMCore.agda:1034.3-15	  ... | just _ = exec-tree-trace tR s alloc	when checking the definition of
Once/CCC/Machine/SMCore.agda:351.3-18	  ... | _ | _ = mem f' k'	when checking the definition of
Once/CCC/Machine/SMCore.agda:414.3-21	  ... | yes _ | no _ = refl	when checking the definition of
Once/CCC/Machine/SMCore.agda:93.1-21	  ... | yes _ | no o≢o = no (λ { refl → o≢o refl })	when checking the definition of Once.CCC.Machine.SMCore.with-80
Once/CCC/Machine/SMPrimitives.agda:231.1-20	  instr-writes-slot _ = nothing	when checking the definition of instr-writes-slot
Once/CCC/Machine/SMPrimitives.agda:238.1-19	  instr-reads-slot _ = nothing	when checking the definition of instr-reads-slot
Once/CCC/Machine/SMPrimitives.agda:258.1-22	  instr-writes-heap _ s = nothing	when checking the definition of instr-writes-heap
Once/CCC/Machine/SMPrimitives.agda:308.1-22	  InstrPreservesFrame _ = ⊤	when checking the definition of InstrPreservesFrame
Once/CCC/Machine/SMPrimitives.agda:713.1-20	  InstrWritesToHeap _ = ⊥	when checking the definition of InstrWritesToHeap
Once/CCC/Machine/SMPrimitives.agda:721.1-26	  TraceNoHeapWrites (_ ∷ t) = TraceNoHeapWrites t	when checking the definition of TraceNoHeapWrites
Once/CCC/Machine/WriteOps.agda:43.3-21	  ... | yes _ | no _ = refl	when checking the definition of
Once/CCC/Target/X86-64/DirectSimulation.agda:118.3-23	  ... | yes _ | no k≢k = no (λ { refl → k≢k refl })	when checking the definition of
Once/CCC/Target/X86-64/DirectSimulation.agda:216.3-18	  exec-x86 _ xs _ = xs	when checking the definition of exec-x86
Once/CCC/Target/X86-64/Syntax.agda:203.1-8	  ... | _ = 0	when checking the definition of
Once/CCC/Target/X86-64/Syntax.agda:205.1-23	  instr-consumed-slots _ = 0	when checking the definition of instr-consumed-slots
Once/Grammar/Convert.agda:101.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-166
Once/Grammar/Convert.agda:65.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-14
Once/Grammar/Convert.agda:68.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-38
Once/Grammar/Convert.agda:71.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-58
Once/Grammar/Convert.agda:74.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-78
Once/Grammar/Convert.agda:92.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-102
Once/Grammar/Convert.agda:95.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-126
Once/Grammar/Convert.agda:98.1-18	  ... | _ | _ = nothing	when checking the definition of Once.Grammar.Convert.with-146
Once/Grammar/ExprBridge.agda:525.3-565.45	  complete-cmpWFraw (pcm-lt dL dR) (acc rec)	when checking the definition of complete-cmpWFraw
Once/Optimize.agda:105.1-106.34	  ... | _ | no neq | _ = no (λ { refl → neq refl })	when checking the definition of Once.Optimize.with-210
Once/Optimize.agda:218.1-24	  ... | _ | no neq = no (λ { refl → neq refl })	when checking the definition of Once.Optimize.with-414
Once/Optimize.agda:226.1-24	  ... | _ | no neq = no (λ { refl → neq refl })	when checking the definition of Once.Optimize.with-474
Once/Optimize.agda:427.1-25	  ... | _ | no nq = no (λ { refl → nq refl })	when checking the definition of Once.Optimize.with-826
Once/Optimize.agda:434.1-435.34	  ... | _ | no nq | _ = no (λ { refl → nq refl })	when checking the definition of Once.Optimize.with-886
Once/Optimize.agda:452.1-23	  ... | _ | no nq = no (λ { refl → nq refl })	when checking the definition of Once.Optimize.with-998
Once/Optimize.agda:461.1-23	  ... | _ | no nm = no (λ { refl → nm refl })	when checking the definition of Once.Optimize.with-1042
Once/Optimize.agda:534.1-29	  ... | _ | no nq = no (λ { refl → nq refl })	when checking the definition of Once.Optimize.with-1954
Once/Optimize.agda:549.1-29	  ... | _ | no nq = no (λ { refl → nq refl })	when checking the definition of Once.Optimize.with-2246
Once/Optimize.agda:566.1-10	  is-Void _ = false	when checking the definition of is-Void
Once/Optimize.agda:586.1-13	  isUnitType _ = false	when checking the definition of isUnitType
Once/Optimize.agda:590.1-13	  isVoidType _ = false	when checking the definition of isVoidType
Once/Optimize.agda:595.1-10	  is-fst? _ = false	when checking the definition of is-fst?
Once/Optimize.agda:600.1-10	  is-snd? _ = false	when checking the definition of is-snd?
Once/Optimize.agda:605.1-15	  is-terminal? _ = false	when checking the definition of is-terminal?
Once/Optimize.agda:622.1-15	  wants-coprod _ = false	when checking the definition of wants-coprod
Once/Optimize.agda:702.1-18	  pairView-gen {A} f eq = is-other-pair (subst (IR A) eq f)	when checking the definition of pairView-gen
Once/Optimize.agda:712.1-20	  coprodView-gen {D} f eq = is-other-coprod (subst (IR D) eq f)	when checking the definition of coprodView-gen
Once/Optimize.agda:726.1-19	  composeFirstView g = cf-other g	when checking the definition of composeFirstView
Once/Optimize.agda:731.1-20	  composeSecondView f = cs-other f	when checking the definition of composeSecondView
Once/Optimize.agda:736.1-13	  fstSndView f = fsv-other f	when checking the definition of fstSndView
Once/Optimize.agda:741.1-13	  inlInrView f = iiv-other f	when checking the definition of inlInrView
Once/Optimize.agda:789.1-12	  ... | _ | _ = ⟨ f , g ⟩ Stack	when checking the definition of Once.Optimize.with-2946
Once/Optimize.agda:79.1-23	  ... | _ | no neq = no (λ { refl → neq refl })	when checking the definition of Once.Optimize.with-38
Once/Optimize.agda:797.1-12	  ... | _ | _ = case f g	when checking the definition of Once.Optimize.with-2970
Once/Optimize.agda:92.1-23	  ... | _ | no neq = no (λ { refl → neq refl })	when checking the definition of Once.Optimize.with-118
Once/Parser.agda:169.3-16	  go (_ ∷ rest) = go rest	when checking the definition of go
Once/Parser.agda:265.3-24	  go (_ ∷ rest) pending = go rest pending	when checking the definition of go
Once/Parser.agda:99.1-14	  allTrailing _ = false	when checking the definition of allTrailing
Once/Parser/Core.agda:118.3-19	  matchToken _ _ _ = nothing	when checking the definition of matchToken
Once/Parser/Core.agda:128.3-10	  check _ = nothing	when checking the definition of check
Once/Parser/Core.agda:134.3-4	  .extendedlambda0 _ = nothing	when checking the definition of .extendedlambda0
Once/Parser/Core.agda:154.1-24	  skipNewlines (t ∷ rest) = just ([] , t ∷ rest)	when checking the definition of skipNewlines
Once/Parser/Expr.agda:402.1-13	  letView toks = let-other toks	when checking the definition of letView
Once/Parser/Expr.agda:428.1-12	  rbView toks = rb-other toks	when checking the definition of rbView
Once/Parser/Expr.agda:485.1-12	  dbView toks = db-other toks	when checking the definition of dbView
Once/Parser/Expr.agda:512.1-12	  doView toks = do-other toks	when checking the definition of doView
